date,/g/11ts49p01g,isPartial
2023-02-19,2,False
2023-02-26,1,False
2023-03-05,3,False
2023-03-12,2,False
2023-03-19,16,False
2023-03-26,9,False
2023-04-02,8,False
2023-04-09,6,False
2023-04-16,9,False
2023-04-23,7,False
2023-04-30,6,False
2023-05-07,32,False
2023-05-14,43,False
2023-05-21,32,False
2023-05-28,26,False
2023-06-04,23,False
2023-06-11,25,False
2023-06-18,23,False
2023-06-25,20,False
2023-07-02,20,False
2023-07-09,41,False
2023-07-16,35,False
2023-07-23,30,False
2023-07-30,30,False
2023-08-06,27,False
2023-08-13,29,False
2023-08-20,27,False
2023-08-27,33,False
2023-09-03,31,False
2023-09-10,34,False
2023-09-17,39,False
2023-09-24,43,False
2023-10-01,44,False
2023-10-08,42,False
2023-10-15,46,False
2023-10-22,46,False
2023-10-29,49,False
2023-11-05,55,False
2023-11-12,51,False
2023-11-19,60,False
2023-11-26,61,False
2023-12-03,68,False
2023-12-10,72,False
2023-12-17,57,False
2023-12-24,47,False
2023-12-31,48,False
2024-01-07,55,False
2024-01-14,58,False
2024-01-21,57,False
2024-01-28,59,False
2024-02-04,63,False
2024-02-11,76,False
2024-02-18,100,False
2024-02-25,96,False
2024-03-03,87,False
2024-03-10,91,False
2024-03-17,86,False
2024-03-24,77,False
2024-03-31,77,False
2024-04-07,77,False
2024-04-14,66,True
